Time,x pos,y pos,phi,motor1 thrust,motor2 thrust,desired angle,desired thrust
0,0,0,0,9.81,9.81,0.0008503401360544217,20.54091836734694
0.0033333333333333335,8.779179249134138e-15,8.527021919879889e-08,8.047996976578987e-11,9.81779503968254,9.817553599773243,0.0008503401360544217,20.54091836734694
0.006666666666666667,5.257405495988083e-14,3.396597064752014e-07,3.2074726531069097e-10,9.825460415115653,9.824981053138316,0.0008503401360544217,20.54091836734694
0.01,1.8365600147681048e-13,8.456200265600346e-07,7.989548355305705e-10,9.832998285364772,9.832284464540747,0.0008503401360544217,20.54091836734694
0.013333333333333334,4.888085495219457e-13,1.6842285514386134e-06,1.5921191372054724e-09,9.84041077352862,9.839465903334254,0.0008503401360544217,20.54091836734694
0.016666666666666666,1.0977049215677926e-12,2.9352113635631445e-06,2.776137763021917e-09,9.847699967338349,9.846527404365924,0.0008503401360544217,20.54091836734694
0.02,2.191186293703767e-12,4.676965777344972e-06,4.425806787197691e-09,9.854867919746697,9.853470968551619,0.0008503401360544217,20.54091836734694
0.023333333333333334,4.009441306647411e-12,6.986582485288592e-06,6.614837833212779e-09,9.861916649507322,9.860298563441804,0.0008503401360544217,20.54091836734694
0.02666666666666667,6.86008737889206e-12,9.939867335023422e-06,9.415874868085557e-09,9.868848141744497,9.867012123777924,0.0008503401360544217,20.54091836734694
0.030000000000000002,1.1126154403456173e-11,1.361136274338504e-05,1.2900510727552826e-08,9.875664348513306,9.873613552039522,0.0008503401360544217,20.54091836734694
0.03333333333333333,1.7273971436384238e-11,1.807436875359512e-05,1.7139303376451306e-08,9.88236718935051,9.880104718982217,0.0008503401360544217,20.54091836734694
0.03666666666666667,2.5860957010118647e-11,2.3400963741488313e-05,2.2201791908525927e-08,9.888958551816247,9.886487464166718,0.0008503401360544217,20.54091836734694
0.04,3.754331372818786e-11,2.966202477663534e-05,2.8156512289824554e-08,9.895440292026684,9.892763596479012,0.0008503401360544217,20.54091836734694
0.043333333333333335,5.308362781940678e-11,3.692724764411403e-05,3.507101284976836e-08,9.901814235177826,9.89893489464189,0.0008503401360544217,20.54091836734694
0.04666666666666667,7.335837435002768e-11,4.5265166532584294e-05,4.301186952392892e-08,9.908082176060576,9.905003107717926,0.0008503401360544217,20.54091836734694
0.05,9.936532881107732e-11,5.474317339422834e-05,5.204470085247159e-08,9.914245879567227,9.910969955604081,0.0008503401360544217,20.54091836734694
0.05333333333333334,1.3223088581552983e-10,6.542753698202533e-05,6.223418273816547e-08,9.920307081189511,9.916837129518058,0.0008503401360544217,20.54091836734694
0.05666666666666667,1.73217285656055e-10,7.738342156973809e-05,7.364406296779791e-08,9.926267487508353,9.922606292476537,0.0008503401360544217,20.54091836734694
0.060000000000000005,2.2372974948890457e-10,9.067490535990001e-05,8.633717550076921e-08,9.932128776675471,9.928279079765455,0.0008503401360544217,20.54091836734694
0.06333333333333334,2.8532352392311e-10,0.00010536499858500225,1.0037545452858451e-07,9.937892598886945,9.933857099402413,0.0008503401360544217,20.54091836734694
0.06666666666666667,3.597108358066165e-10,0.0001215156613069944,1.1581994830889583e-07,9.943560576848903,9.939341932591415,0.0008503401360544217,20.54091836734694
0.06999999999999999,4.487677580123219e-10,0.00013918782092012683,1.3273083277769853e-07,9.94913430623545,9.944735134169976,0.0008503401360544217,20.54091836734694
0.07333333333333332,5.545409870372735e-10,0.00015844138936207903,1.5116742494321936e-07,9.95461535613897,9.950038233048815,0.0008503401360544217,20.54091836734694
0.07666666666666665,6.792545332375469e-10,0.0001793352800382357,1.7118819606497958e-07,9.96000526951291,9.955252732644192,0.0008503401360544217,20.54091836734694
0.07999999999999997,8.253163245296375e-10,0.00020192742446389182,1.9285078462146468e-07,9.96530556360722,9.960380111303046,0.0008503401360544217,20.54091836734694
0.0833333333333333,9.953247243965785e-10,0.00022627478862908724,2.1621200906977363e-07,9.970517730396507,9.965421822721035,0.0008503401360544217,20.54091836734694
0.08666666666666663,1.1920749650434997e-09,0.00025243338909069444,2.4132788040056976e-07,9.97564323700108,9.970379296353618,0.0008503401360544217,20.54091836734694
0.08999999999999996,1.4185654965530046e-09,0.00028045830879630453,2.6825361449159687e-07,9.980683526100965,9.975253937820272,0.0008503401360544217,20.54091836734694
0.09333333333333328,1.6780042528956033e-09,0.00031040371264438193,2.9704364426298123e-07,9.985640016343034,9.980047129301962,0.0008503401360544217,20.54091836734694
0.09666666666666661,1.9738148356545343e-09,0.0003423228627850831,3.277516316374794e-07,9.99051410274135,9.984760229932009,0.0008503401360544217,20.54091836734694
0.09999999999999994,2.3096426163276808e-09,0.0003762681336660618,3.6043047930878745e-07,9.99530715707084,9.98939457618041,0.0008503401360544217,20.54091836734694
0.10333333333333326,2.6893607580719557e-09,0.0004122910268275106,3.951323423209725e-07,10.000020528254405,9.993951482231774,0.0008503401360544217,20.54091836734694
0.10666666666666659,3.1170761577575564e-09,0.0004504421854506186,4.319086394620472e-07,10.004655542743595,9.998432240356927,0.0008503401360544217,20.54091836734694
0.10999999999999992,3.5971353092008648e-09,0.0004907714086635548,4.7081006447465104e-07,10.00921350489294,10.002838121278353,0.0008503401360544217,20.54091836734694
0.11333333333333324,4.134130088445576e-09,0.0005333276656090184,5.118865970867569e-07,10.01369569732803,10.007170374529524,0.0008503401360544217,20.54091836734694
0.11666666666666657,4.7329034619618455e-09,0.0005781591092773299,5.55187513865277e-07,10.018103381307476,10.011430228808234,0.0008503401360544217,20.54091836734694
