Time,X,Y,Target X,Target Y,Heading,Speed,Left Voltage,Right Voltage
0,0,0,0.0,0.0,0,0,0,0
0.016666666666666666,0.0004492395738873753,9.382147505446326e-07,-0.0006534306282509918,0.0034643737573166354,0.0037120230179900917,0.04792392878551688,0.2665047020433995,2.846721269308406
0.03333333333333333,0.0016361770723401338,1.1782034035464597e-05,-0.0018630867091734811,0.010232318789159353,0.013553767910426806,0.08933585408175586,0.26300502719904795,2.9055684889083877
0.04999999999999997,0.003459639360001082,5.172389420269417e-05,-0.002943450175602235,0.01678654802052745,0.02872486759879088,0.12505723183105336,0.26146244407346086,2.9506012081800117
0.06666666666666661,0.005830348556775598,0.0001456686504769369,-0.0038948981710719625,0.023127886463316275,0.048509246973845475,0.15579237447596148,0.26148835893419264,2.9828297642523562
0.08333333333333325,0.008668756344563268,0.0003206640748221069,-0.004717807839117375,0.029257159129421187,0.07226560633189882,0.18214539313318615,0.26270975818797737,3.003177434691574
0.09999999999999988,0.011903268715521718,0.0006034298049680318,-0.00541255632327318,0.03517519103073754,0.09941911332115207,0.20463479462032522,0.2647770280002023,3.012489385080965
0.11666666666666652,0.01546885277472356,0.001018681861120138,-0.005979520767074087,0.04088280717916067,0.12945411989821232,0.22370603687090249,0.2673696613354871,3.011540179141977
0.13333333333333322,0.019305984101523295,0.0015880354418670256,-0.006419078314054806,0.04638083258658595,0.1619077507432645,0.23974231458844666,0.27020041571517567,3.0010401914240727
0.15,0.02335988028778193,0.0023293303965792856,-0.00673160610775005,0.051670092264908755,0.1963642343185394,0.2530738157158269,0.27301835534951435,2.9816411290363414
0.16666666666666677,0.02757996440843452,0.003256267568864171,-0.00691748129169452,0.056751411226024395,0.23244986808300935,0.2639856598446891,0.27561112045899033,2.9539407838916274
0.18333333333333354,0.03191950595517941,0.00437827500133033,-0.006977081009422926,0.061625614481828225,0.26982852599548746,0.2727247028093014,0.2778067050899864,2.918487083306
0.20000000000000032,0.03633539309411183,0.005700544535841071,-0.0069107824044699825,0.0662935270442156,0.30819762994014,0.2795053677135877,0.2794749858067106,2.875781472516451
0.2166666666666671,0.040787997277794204,0.007224194412753731,-0.006718962620370391,0.07075597392508184,0.34728451758155465,0.2845146415772732,0.28052922279757014,2.826281639509319
0.23333333333333386,0.04524109833622611,0.008946524074186873,-0.006401998800658864,0.07501378013632233,0.38684314779375883,0.28791635855432257,0.2809277494774263,2.7704035749536935
0.2500000000000006,0.04966184473333793,0.010861334933461173,-0.0059602680888701095,0.07906777068983242,0.4266510915137385,0.2898548751008014,0.2806760753769312,2.7085229443716115
0.2666666666666671,0.054020729507949714,0.012959296379457919,-0.005394147628538847,0.08291877059750738,0.4665067608693675,0.29045822935916954,0.279829649964252,2.6409757336993875
0.2833333333333336,0.058291567463771315,0.015228340425165588,-0.004704014563199783,0.08656760487124263,0.5062268328748668,0.28984086621041166,0.27849757295433,2.5680581120137678
0.3000000000000001,0.06245146344965167,0.017654071649309544,-0.0038902460363876216,0.09001509852293353,0.5456438259578165,0.2881060007986459,0.27684759109058005,2.4900254366283585
0.3166666666666666,0.06648076513396946,0.020220181731176776,-0.0029532191916370786,0.09326207656447541,0.584603788106071,0.2853476867958303,0.27511279361174895,2.407090308207441
0.3333333333333331,0.0703629965981134,0.022908860149987262,-0.0018933111724828567,0.09630936400776366,0.6229640544837328,0.2816526512719785,0.2736005081556332,2.3194195727668885
0.3499999999999996,0.07408477143254208,0.02570119465110198,-0.0007108991224596684,0.09915778586469358,0.6605910299349075,0.2771019558918923,0.2727040000801286,2.2271301760182705
0.3666666666666661,0.07763568589559282,0.028577556968474905,0.0005936398148977738,0.10180816714716058,0.6973579479017333,0.2717725444964029,0.27291767332113737,2.130283829111875
0.3833333333333326,0.0810081941694962,0.031517971107589846,0.0020199284960547674,0.10426133286705992,0.7331425521583591,0.2657387402399929,0.27485651578909337,2.0288805938754098
0.3999999999999991,0.08419746889614677,0.03450246329440546,0.0035675897774766043,0.10651810803628707,0.7678246421245817,0.2590737616054125,0.2792804284675097,1.9228518365210228
0.4166666666666656,0.08720125106667867,0.0375113945349747,0.00523624651562857,0.10857931766673731,0.8012834181547498,0.2518513357196172,0.28712361965869243,1.812053710150768
0.43333333333333207,0.0900196940294805,0.04052577864678784,0.007025521566975961,0.11044578677030596,0.833394564033881,0.244147498314309,0.2995280306880317,1.6962637250069257
0.44999999999999857,0.0926552068965836,0.04352759061984242,0.008935037787984053,0.11211834035888846,0.8640270179940525,0.2360426786182914,0.31787704500627567,1.575185572238137
0.46666666666666506,0.095112302930815,0.04650007214794816,0.010964418035118164,0.11359780344438006,0.8930394262304894,0.2276241647837952,0.3438202907712878,1.4484719176208856
0.48333333333333156,0.09739745842332279,0.04942804281148245,0.013113285164843565,0.11488500103867619,0.9202763710840611,0.21898900988159148,0.3792705301796631,1.3157820471888326
0.49999999999999806,0.09951898673867174,0.05229822588343129,0.01538126203362554,0.11598075815367215,0.9455646612557994,0.2102473291763658,0.42633837449344325,1.1769004437344317
0.516666666666665,0.10148692990295569,0.05509959541390105,0.017767971497929424,0.11688589980126335,0.9687103122921294,0.2015256914483835,0.4871529573518456,1.031948528468392
0.5333333333333321,0.10331296534337199,0.05782374333104498,0.02027303641422053,0.11760125099334509,0.9894973485651629,0.19296985294161287,0.5635118803465736,0.8817096070183781
0.5499999999999992,0.10501031743991512,0.060465248392403796,0.022896079638964124,0.11812763674181272,1.0076901062990828,0.1847454449334911,0.6563470835380415,0.7280286163570168
