Time,x,y,xdot,ydot,phi,motor1 thrust,motor2 thrust,desired x,desired y
0.016666666666666666,-7.760499939891262e-06,4.621645698379341e-05,-0.0012878908943376316,0.00590456970862085,-0.01840675137257316,-23.57778439157963,44.36675525593485,-5.04,5.32
0.03333333333333333,-0.00011300562458515579,0.00028206312555803753,-0.011584531032448548,0.020713380301403496,-0.09051804326391344,-16.621400598892183,38.479084815183256,-5.04,5.32
0.05,-0.0005655437567426132,0.0008336195507754198,-0.040441822970119744,0.04198600913603165,-0.19955018696467366,8.576410559377095,14.262750723177252,-5.04,5.32
0.06666666666666667,-0.0017221381867585008,0.0017760565982736132,-0.09161323610320397,0.06651299894397816,-0.3067287786028765,27.866830717376523,-4.109226392536671,-5.04,5.32
0.0833333333333333,-0.003933735951632638,0.003143303979534797,-0.16233278196350423,0.09257539503782362,-0.3857276846310954,33.13635660281485,-8.506458560129712,-5.04,5.32
0.09999999999999994,-0.007470612220544999,0.004963127818529026,-0.24693265172709727,0.1206129188483342,-0.43190507181978216,28.566272392220924,-3.1125583082132233,-5.04,5.32
0.11666666666666657,-0.012510350599962722,0.007280979799103999,-0.34024350980174595,0.15188009255277982,-0.45423501634897817,21.775185180169792,4.4403276975913855,-5.04,5.32
0.13333333333333322,-0.019162026118356067,0.010159888410759755,-0.4388988416798458,0.18720349271505254,-0.46365599086152803,17.629378361691618,9.274232220465283,-5.04,5.32
0.14999999999999986,-0.027494170225142008,0.01367013049846411,-0.5409750834380697,0.226788239055514,-0.4664233941045422,16.885784630715257,10.626736187821779,-5.04,5.32
0.1666666666666665,-0.037549440070412055,0.017882402096777352,-0.6450435319556325,0.2705971738864595,-0.4636646626777891,17.91481869786537,10.125350175343549,-5.04,5.32
0.18333333333333313,-0.04934528400294019,0.022867314023690504,-0.7494801196642009,0.31867035185180465,-0.4541319159354739,18.894272872228715,9.590276168492005,-5.04,5.32
0.19999999999999976,-0.06286854808436677,0.028697349171562535,-0.8523206213253254,0.3711545594419574,-0.4368816663830509,18.96304723069969,9.87986382286745,-5.04,5.32
0.2166666666666664,-0.07807183961179452,0.035447119880857546,-0.9514936795185991,0.4281384087862767,-0.41236960332478634,18.216623515521523,10.896363103441189,-5.04,5.32
0.23333333333333303,-0.09487491285825074,0.04319062130502679,-1.0451310402659908,0.48948502632449226,-0.38215423122518943,17.155436260870523,12.139041614868418,-5.04,5.32
0.24999999999999967,-0.11317016829422613,0.051996715689194825,-1.1317556101273902,0.5547705755442426,-0.3480861034777078,16.285641903234012,13.101924626574682,-5.04,5.32
0.26666666666666644,-0.13282933099198266,0.06192436008823893,-1.2102702076867327,0.6232943128280638,-0.3114773127059384,15.908016712662496,13.480512611175104,-5.04,5.32
0.2833333333333332,-0.1537085687395141,0.07301911437514312,-1.2798363665380172,0.6942042749193543,-0.27291985449336625,15.615330536992385,13.687017112236397,-5.04,5.32
0.3,-0.17565210520355148,0.08531166876339279,-1.3398184459332418,0.7665859252734504,-0.2328822773255456,15.147226319639685,13.988482842023803,-5.04,5.32
0.31666666666666676,-0.19849588665822246,0.09881704571212983,-1.3898209240479267,0.8394846834917616,-0.19205977852407513,14.494458968317769,14.401565901570706,-5.04,5.32
0.33333333333333354,-0.22207218549125424,0.11353417254496238,-1.4297457670788016,0.9119320838494633,-0.15135120399809238,13.778678897627147,14.81263852248022,-5.04,5.32
0.3500000000000003,-0.24621477723535556,0.12944605615382243,-1.4598066081221595,0.9829880966080352,-0.11166570981478331,13.118983653811163,15.11101207387923,-5.04,5.32
0.3666666666666671,-0.2707637954525888,0.14652073100285673,-1.4804886601984164,1.0517880068035899,-0.07375541227252437,12.568502490693003,15.252053573574168,-5.04,5.32
0.38333333333333386,-0.29556956983308447,0.16471289942098397,-1.4924778770583556,1.1175788399928386,-0.03815491780020935,12.120478585418748,15.250823714143396,-5.04,5.32
0.40000000000000063,-0.3204952291644858,0.18396601193067755,-1.4965878278540845,1.1797388898165666,-0.005207469922000866,11.743920535366051,15.146218295388653,-5.04,5.32
0.4166666666666674,-0.34541821062659156,0.2042145169310204,-1.493700149782349,1.237782218203911,0.024879189383903905,11.41306647405068,14.97137275499501,-5.04,5.32
0.4333333333333342,-0.37023093706246635,0.22538607761046117,-1.4847206823650076,1.291353034926114,0.05198936273869434,11.117313232163596,14.74365777313252,-5.04,5.32
0.45000000000000095,-0.39484088241155596,0.24740363117211464,-1.47054682571853,1.3402141194857908,0.07607983675848544,10.856493952100838,14.46936476899541,-5.04,5.32
0.46666666666666773,-0.4191701662890202,0.2701872190202849,-1.4520418086572235,1.3842319066898134,0.09717512484317123,10.632211364840051,14.152365077428605,-5.04,5.32
0.4833333333333345,-0.44315477273432186,0.2936555504310395,-1.430014205339327,1.4233599848583183,0.11536436359657296,10.442542709426165,13.799422432507301,-5.04,5.32
0.5000000000000012,-0.46674348140227423,0.31772728815743523,-1.4052029140889972,1.4576224757087257,0.13079276298986597,10.281612458019813,13.420657632934407,-5.04,5.32
0.5166666666666677,-0.4898966070647933,0.3423220669517908,-1.3782680181037037,1.487098551841943,0.1436478033698968,10.141895850174976,13.027295401740012,-5.04,5.32
0.5333333333333342,-0.5125846432259824,0.36736127321754014,-1.3497871834381823,1.5119089537111394,0.1541439738121334,10.016612952208837,12.629326251591952,-5.04,5.32
0.5500000000000007,-0.5347868917600613,0.3927686234899275,-1.3202564820224396,1.5322048804191317,0.16250953010504127,9.900854173961154,12.234436402366107,-5.04,5.32
